全部事件日志消息。
日期:	2022-05-26 13:46:16
系统名称：	2600-510970
控制器名称：	2600-510970
控制器 ID：	2600-510970

RobotWare: 6.08.00.00
密码:	 - 
选项:	
	RobotWare Base
	616-1 PC Interface
	623-1 Multitasking
	UDPUC Driver
	689-1 Externally Guided Motion (EGM)

DriveModule1
密码:	 - 
选项:	
	Motor Commutation
	Service Info System
	Pendelum Calibration
	Drive System IRB 2600/4400/6400R
	Axis Calibration
	IRB 2600-20/1.65 Type B



公用 个日志消息
SeqNo     	类型  	类别                  	代码      	标题                                      	日期                  	说明	自变量
71499     	I   	操作                  	10200   	事件日志被清除                                 	2022-05-12 17:24:49 	用户 Default User 已清除所有事件日志。	{args: "Default User"}
71500     	I   	操作                  	10002   	程序指针已经复位                                	2022-05-12 17:24:50 	任务 T_ROB1 的程序指针已经复位。	{args: "1", "0", "T_ROB1"}
71501     	I   	操作                  	10041   	程序已删除                                   	2022-05-12 17:24:51 	已经从任务 T_ROB1中删除了程序或程序模块。	{args: "0", "0", "T_ROB1"}
71502     	I   	操作                  	10150   	程序已启动                                   	2022-05-12 17:24:51 	从任务的入口例行程序的第一个指令开始执行任务 T_ROB1 。起因无法判定。	{args: "1", "T_ROB1"}
71503     	I   	操作                  	10002   	程序指针已经复位                                	2022-05-12 17:24:51 	任务 T_ROB1 的程序指针已经复位。	{args: "1", "0", "T_ROB1"}
71504     	E   	系统                  	20127   	工具数据已更改                                 	2022-05-12 17:24:51 	活动工具 custom_tool1 已删除并用 tool0替换。工具数据位于连接机械单元 ROB_1的任务： T_ROB1 中。	{args: "T_ROB1", "ROB_1", "custom_tool1", "tool0"}
71505     	I   	操作                  	10129   	程序已停止                                   	2022-05-12 17:24:51 	任务 T_ROB1 已停止。原因是 RESET（重置）或 POWER_ON 的事件例行程序就绪。	{args: "1", "T_ROB1"}
71506     	I   	操作                  	10040   	程序已加载                                   	2022-05-12 17:25:42 	已经在任务 T_ROB1中加载了程序或程序模块。加载后，剩余 22344308 字节内存。加载程序的大小为 15444728 字节。	{args: "0", "0", "T_ROB1", "22344308", "15444728"}
71507     	W   	操作                  	10065   	新用户已开始修改 RAPID。                         	2022-05-12 17:29:07 	用户 >17Œ  已开始了任务 T_ROB1内的 RAPID 程序修改。	{args: ">17Œ ", "T_ROB1"}
71508     	I   	操作                  	10040   	程序已加载                                   	2022-05-12 17:29:07 	已经在任务 T_ROB1中加载了程序或程序模块。加载后，剩余 22344308 字节内存。加载程序的大小为 15444728 字节。	{args: "0", "0", "T_ROB1", "22344308", "15444728"}
71509     	I   	操作                  	10015   	已选择手动模式                                 	2022-05-12 17:29:48 	系统处于手动模式。	{args: }
71510     	I   	操作                  	10012   	安全防护停止状态                                	2022-05-12 17:29:48 	系统处于电机保护停止 (Guard stop) 状态。在从自动模式切换到手动后进入此状态，在电机上电电路因为以下原因而被打开后进入此状态：紧急停机、一般停机、自动停机或超级停机，或在手动模式下释放了使动装置。	{args: }
