AxisNo TryNo NewCalOff ContactTorque AveTorque Ip Kv ContactPoint
1 0 3.3598 1.22707 0.699761 -0.00946231 0.300533 0
1 1 3.36019 1.2557 0.731307 0.0237816 0.299422 -8.10884
1 2 3.36105 1.25438 0.722819 0.0283337 0.290888 -8.10924
2 0 0.68162 2.34788 1.75807 0.649162 0.327948 0
2 1 0.68488 2.3545 1.76383 0.671885 0.317809 -1.91659
2 2 0.686701 2.34959 1.76649 0.667971 0.321741 -1.91736
3 0 1.47751 1.83601 1.3289 1.05007 0.311056 0
3 1 1.47645 1.83464 1.32935 1.06351 0.302613 -27.551
3 2 1.47732 1.83443 1.32712 1.05096 0.309318 -27.5514
4 0 2.10137 -0.853626 -0.438033 -0.355512 0.17533 0
4 1 2.09946 -0.846199 -0.431121 -0.349812 0.174727 32.789
4 2 2.09907 -0.848379 -0.433132 -0.351806 0.174735 32.7895
5 0 0.778008 0.586566 0.273416 0.194307 0.0718243 0
5 1 0.78702 0.584138 0.273175 0.183224 0.0749503 -1.63435
5 2 0.789704 0.583048 0.273476 0.186903 0.0739764 -1.63621
6 0 6.51569 0.490302 0.331033 0.209779 0.0657894 0
6 1 6.51706 0.491111 0.334875 0.216041 0.0644764 -48.7395
6 2 6.51884 0.493973 0.334822 0.22883 0.0575082 -48.7418
